1017,177
947,2481
1970,408
3495,125719953
989,101
230,1570
1380,5306
15745,21291
95698,25305557
261521,28576281
188,261521
511,188
11,47
114793124,64
55805,210429
121485,4393
214616,100949
925,361
1209961,1127937
38611822,1209961
261,894
42446,33726
2429,268205
74832,19524
18231,9136671
670,1615
5290,2503
1492,4559
1047,174802
52454,167
583,2529
6167,4152
1135314,672765
82679,8882
21701,40791
14487,5427
7366,40
383,282
1360,383
10419379,144570
291,82884
19470,291
24465,1933
190990,12643
16082,190990
789585,5074
163550,789585
35465,163550
48196,41105
19138,39222
357,391
376,357
77087,8994
1472,636
55236,58539
92296,12576
82,5676
483,82
305298,9089
24435,305298
591974,24435
59624,1485928
56651,56522
5692,337089
4077,5692
5744,4077
14559,1945
49212,9148
1167,251
3408,926
1355,46
32030,6047
745,276
258,745
711,258
217,711
9589,21038
3613,9589
6774,65388
4500,1374
5549,50558
71275,10354396
89594,17657
83535,8307
1873,78226
548,385
515,548
12648,46481
7769,17425
2389,3817020
37273,277478
92179,6247
500556,92179
84281,11401
45721,3383
4190,16592
8413,29468
21748626,264776
62,419950
26396,11168
894,1330
1387,100
257786,3058
76987,264
4952,76987
108456,2367
708,41532
21453,708
6427,2183
15180,467161
33,42
51,33
129,833
94,1426
2253,94
23396,56738
32298,23396
7495,3926
1335,1348
263,1093
2302,19185
7796,12598
63904,418
122558,78264
2476,3239
736556,883468
248,736556
431,248
5579,780
2540,5579
2198,2540
2588,2198
814,446
58295,814
16353274,63429
82679,28987
4228454,6458593
149,1528
2409,149
2812,2409
1206052,147825
264692,160254
2644,264692
188161,2644
59653,13938
74669,440656
257,819
37613,7180
379,74
1911,379
65,262
134,65
3716935,507429
118454,331081
394,968
401,900
6664,392
86281,13431
5737,86281
100214,62561
469,954
354000,3944
989225,115567753
14122,89730
79865,63093
264658,9821
1852,116
2195985,396255
1031,3818
409,1031
10352,1523
5491,10352
7533,44052
42718,26753
632,946
531780,12353
39117,128756
342854,279630
279112,69015
245,10148
89558631,56110186
580,1488
5988,645
9939,1678
3074,9939
47382,8224
2476,544
384,7414
3041,2406
4701,1611
1321,4701
17571,17322
7107,1029
4934,7107
372,200
883,2481
523,1208
1328,67642
1218042,1778244
1374442,427229
58925,6433
8551,58925
66667,15025
2906,38146
5874,2906
4161,5874
1289,4161
732,1289
1295,6372
5452,5819
1191,141530
87639,23860
14146,14831
13506,7635
14627,13506
1335975,14627
6007,1659
5523,4326
3111,1707
7039,3111
46,81
2451941,1004121
83690,12753
51641,282282
439948,430447
83307,1713
51850,11108
515,3628
10909,110065
42908,2338
4131,42908
426874,4269
77206,315
1163,1398
932,1163
3527,11077
347521,85426
72387,33951
105289,22842
708,2535
8810,708
386,8810
66996,386
6989,66996
386634,115643
6040530,4601
1161,1200
48202,31149
168111,29707
257,2299
348,85
641613,6823
80,16
61164,8018
2495,61164
18444,15987
383985,32832
2785,827
484,1273
103727,1267
57726,10743
11359,57726
1642,33180175
21190,13741
34,287
120711,13504
6092,120711
113344,42569
1884,415
372,267
96203,25127
311,180
15802,70401
25936,2294
2957,283
96798,15813
4396,609
813,4396
1369,403
537,1369
77007,1666
11477,77007
38698,981
1372,79686
70918,1372
437,70918
4593,11160
44596,4593
79382,67944
69017,10819
