year,month,count,ninetyth_percentile_reaction_time_days,tenth_percentile_reaction_time_minutes
2010,7,32,550.919259259259,6.8
2010,8,52,357.922164351852,9.75
2010,9,43,4.09238425925926,12.3833333333333
2010,10,66,12.6198032407407,13.7833333333333
2010,11,31,129.506168981481,9.38333333333333
2010,12,71,3.90310185185185,3.21666666666667
2011,1,70,8.03409722222222,8.33333333333333
2011,2,108,5.83961805555556,8.38333333333333
2011,3,175,3.3833912037037,4.51666666666667
2011,4,117,2.85945601851852,9.15
2011,5,188,2.66570601851852,7.66666666666667
2011,6,170,3.32174768518519,4.83333333333333
2011,7,124,14.5287152777778,8.5
2011,8,172,6.69663194444444,6.01666666666667
2011,9,131,6.70177083333333,10.5666666666667
2011,10,164,2.86703703703704,4.93333333333333
2011,11,131,14.1258796296296,10.9333333333333
2011,12,105,3.23653935185185,7.93333333333333
2012,1,122,7.47958333333333,6.4
2012,2,195,5.56457175925926,8.01666666666667
2012,3,141,193.1521875,9.7
2012,4,127,246.471828703704,8.38333333333333
2012,5,201,8.87145833333333,7.26666666666667
2012,6,153,51.6918865740741,5.4
2012,7,123,6.37462962962963,10.8166666666667
2012,8,178,5.22994212962963,9.91666666666667
2012,9,132,4.92854166666667,11.1166666666667
2012,10,206,5.51082175925926,8.53333333333333
2012,11,244,131.173275462963,11.8666666666667
2012,12,213,8.33356481481482,7.08333333333333
2013,1,283,4.54421296296296,9.48333333333333
2013,2,225,7.17756944444444,7.85
2013,3,198,12.2741203703704,10.6833333333333
2013,4,249,4.67923611111111,7.96666666666667
2013,5,259,30.1143518518519,5.38333333333333
2013,6,203,6.77466435185185,4.93333333333333
2013,7,278,20.887025462963,8.5
2013,8,224,12.9389467592593,7.9
2013,9,252,9.68966435185185,8.71666666666667
2013,10,288,2.73596064814815,7.1
2013,11,251,6.24537037037037,7.2
2013,12,203,13.516099537037,11.9
2014,1,297,2.17747685185185,5.66666666666667
2014,2,222,4.71945601851852,8.01666666666667
2014,3,199,6.54623842592593,10.15
2014,4,267,67.048125,5.65
2014,5,291,3.74046296296296,5.23333333333333
2014,6,367,1.64046296296296,4.9
2014,7,435,1.69962962962963,4.93333333333333
2014,8,359,2.59247685185185,5.48333333333333
2014,9,419,2.23378472222222,5.08333333333333
2014,10,442,1.97240740740741,5.9
2014,11,352,7.12928240740741,6.51666666666667
2014,12,343,2.86909722222222,5.26666666666667
2015,1,329,4.01209490740741,6.58333333333333
2015,2,382,1.97907407407407,4.91666666666667
2015,3,458,2.69603009259259,5.28333333333333
2015,4,404,2.76663194444444,6.88333333333333
2015,5,399,2.53362268518519,5.36666666666667
2015,6,392,3.90673611111111,6.16666666666667
2015,7,464,2.5818287037037,4.21666666666667
2015,8,363,5.7680787037037,5.38333333333333
2015,9,437,1.28258101851852,5.08333333333333
2015,10,364,2.23456018518519,5.51666666666667
2015,11,382,2.74711805555556,6.26666666666667
2015,12,416,3.60143518518519,4.9
2016,1,402,3.48645833333333,4.58333333333333
2016,2,465,2.86135416666667,4.86666666666667
2016,3,488,2.90832175925926,4.78333333333333
2016,4,439,6.575,4
2016,5,500,5.79196759259259,5.01666666666667
2016,6,428,3.75148148148148,3.75
2016,7,338,3.9765162037037,5.13333333333333
2016,8,453,3.99876157407407,4.53333333333333
2016,9,467,2.85340277777778,3.61666666666667
2016,10,430,1.73346064814815,3.06666666666667
2016,11,452,2.96740740740741,4.75
2016,12,404,3.00719907407407,4.15
2017,1,443,2.80984953703704,3.96666666666667
2017,2,554,2.17833333333333,3.85
2017,3,603,1.81365740740741,4.56666666666667
2017,4,466,2.13149305555556,4.1
2017,5,560,2.02590277777778,3.11666666666667
2017,6,607,2.89640046296296,4.53333333333333
2017,7,455,2.61407407407407,3.96666666666667
2017,8,400,1.42876157407407,4.43333333333333
2017,9,430,1.76244212962963,5.11666666666667
2017,10,391,1.64737268518519,4.41666666666667
2017,11,445,3.23767361111111,5.41666666666667
2017,12,319,2.99486111111111,4.48333333333333
2018,1,450,1.52900462962963,5.98333333333333
2018,2,401,2.61591435185185,5.75
2018,3,469,2.75199074074074,4.91666666666667
2018,4,494,2.46354166666667,5.73333333333333
2018,5,426,1.93399305555556,4.46666666666667
2018,6,364,2.94336805555556,5.66666666666667
2018,7,392,1.91197916666667,6.21666666666667
2018,8,387,2.58736111111111,4.06666666666667
2018,9,340,1.90855324074074,4.86666666666667
2018,10,384,1.94762731481481,4.01666666666667
2018,11,439,3.11547453703704,5.66666666666667
2018,12,331,2.63887731481482,4.76666666666667
2019,1,434,2.20672453703704,7.33333333333333
2019,2,450,1.878125,4.33333333333333
2019,3,422,2.18533564814815,5.83333333333333
2019,4,339,3.77892361111111,4.26666666666667
2019,5,379,2.966875,6.15
2019,6,350,2.58804398148148,6.53333333333333
2019,7,416,2.18071759259259,5.06666666666667
2019,8,366,2.64768518518519,3.7
2019,9,327,2.64858796296296,6.43333333333333
2019,10,365,2.33179398148148,6.23333333333333
2019,11,391,2.83561342592593,5.9
2019,12,352,2.67059027777778,6.9
2020,1,414,2.73203703703704,6.83333333333333
2020,2,394,1.77927083333333,6.38333333333333
2020,3,373,1.81045138888889,5.21666666666667
2020,4,355,1.46212962962963,5.43333333333333
2020,5,337,1.53280092592593,4.48333333333333
