year,month,count,ninetyth_percentile_reaction_time_days,tenth_percentile_reaction_time_minutes
2009,8,1,0.00340277777777778,4.9
2010,2,1,4.38699074074074,6317.26666666667
2010,3,1,53.2152662037037,76629.9833333333
2010,4,2,0.00325231481481481,2.21666666666667
2010,6,4,60.1052777777778,333.533333333333
2010,7,138,0.449016203703704,5.56666666666667
2010,8,235,1.05349537037037,14.5166666666667
2010,9,204,2.68954861111111,12.8833333333333
2010,10,213,2.90521990740741,18.5
2010,11,228,3.901875,11.0166666666667
2010,12,212,2.26546296296296,12.7166666666667
2011,1,261,3.45974537037037,14.2333333333333
2011,2,274,1.66929398148148,11.1
2011,3,386,1.99479166666667,10.75
2011,4,319,1.98125,12.4833333333333
2011,5,382,5.80114583333333,12.6833333333333
2011,6,373,3.61405092592593,17.1166666666667
2011,7,346,3.91753472222222,14.3
2011,8,353,2.7915625,15.2166666666667
2011,9,325,7.83385416666667,18.1166666666667
2011,10,360,14.8802662037037,21.1
2011,11,343,50.3340162037037,21.7666666666667
2011,12,278,10.4684259259259,18.3666666666667
2012,1,379,6.08142361111111,20.8833333333333
2012,2,476,12.1746643518519,22.9666666666667
2012,3,498,54.4560300925926,22.5166666666667
2012,4,616,49.7115740740741,15.6666666666667
2012,5,689,14.3188888888889,12.2
2012,6,661,22.4907986111111,15.2666666666667
2012,7,681,67.7477662037037,17.8166666666667
2012,8,636,19.8876157407407,19.45
2012,9,605,14.2311689814815,13.8666666666667
2012,10,802,42.1755555555556,14.8666666666667
2012,11,850,66.2321064814815,15.55
2012,12,689,36.1013310185185,12.7833333333333
2013,1,871,25.7644097222222,14.15
2013,2,775,14.0264583333333,14.65
2013,3,863,75.0156481481481,18.5333333333333
2013,4,835,17.4115393518519,16.3666666666667
2013,5,855,43.7971643518519,14.6333333333333
2013,6,761,47.6016319444444,15.3
2013,7,805,28.7922916666667,14.2333333333333
2013,8,824,41.3780439814815,14.9666666666667
2013,9,831,34.613599537037,19
2013,10,985,52.8728356481481,15.75
2013,11,870,24.5204166666667,12.25
2013,12,762,17.3907175925926,12.2666666666667
2014,1,1016,7.64604166666667,12.5166666666667
2014,2,946,16.577962962963,13.1
2014,3,1000,27.9021412037037,15.4666666666667
2014,4,961,56.0839930555556,16.3833333333333
2014,5,867,14.7435300925926,15.3166666666667
2014,6,996,7.97111111111111,12.2666666666667
2014,7,1043,36.5097800925926,13.3833333333333
2014,8,1042,32.8652430555556,11.5666666666667
2014,9,1089,56.2031597222222,13.7166666666667
2014,10,1222,48.1453009259259,15.45
2014,11,1068,55.1712962962963,16.6833333333333
2014,12,885,57.6987847222222,16.8333333333333
2015,1,1129,44.3920949074074,15.1166666666667
2015,2,1090,15.6704050925926,15.2166666666667
2015,3,1142,36.2511226851852,16.3
2015,4,1094,46.9609027777778,16.6166666666667
2015,5,1011,32.3508101851852,17.1333333333333
2015,6,1055,41.5623842592593,16.35
2015,7,1143,21.1905324074074,14.3666666666667
2015,8,1059,16.9255324074074,16.1
2015,9,1030,9.27171296296296,16.2166666666667
2015,10,1103,16.0604050925926,16.7166666666667
2015,11,992,44.3996180555556,15.85
2015,12,947,26.0668402777778,15.7333333333333
2016,1,1028,31.1917361111111,15.0666666666667
2016,2,1189,23.4495601851852,15.9833333333333
2016,3,1228,22.5227430555556,15.7
2016,4,1225,14.9959722222222,13.7333333333333
2016,5,1085,20.2952083333333,15.2666666666667
2016,6,1183,12.1075578703704,15.7666666666667
2016,7,1029,20.1054861111111,18.1
2016,8,1101,7.53165509259259,12.7166666666667
2016,9,1016,9.81686342592593,11.2
2016,10,957,15.1189930555556,12.5666666666667
2016,11,1021,37.6709143518518,12.9833333333333
2016,12,900,30.1411458333333,16.4166666666667
2017,1,1027,37.1337962962963,17.2666666666667
2017,2,1045,8.33520833333333,14.2333333333333
2017,3,1154,12.9902314814815,14.8833333333333
2017,4,960,14.6634259259259,14.2333333333333
2017,5,1028,14.9239351851852,15.0666666666667
2017,6,1060,16.1351736111111,13.7833333333333
2017,7,982,31.0054513888889,16.9166666666667
2017,8,916,14.3005555555556,15.0333333333333
2017,9,854,5.88011574074074,15.9333333333333
2017,10,890,10.5804861111111,15.2833333333333
2017,11,948,12.6715162037037,14.8166666666667
2017,12,766,8.55997685185185,14.6
2018,1,962,10.2984143518519,16.4833333333333
2018,2,880,11.5065509259259,15.4166666666667
2018,3,1004,12.9906944444444,16.3333333333333
2018,4,934,7.13465277777778,13.5
2018,5,928,6.97519675925926,14.25
2018,6,881,10.7233680555556,15.7666666666667
2018,7,860,14.9061226851852,16.2333333333333
2018,8,932,7.77407407407407,16.2166666666667
2018,9,748,5.35821759259259,14.4
2018,10,921,6.6891087962963,15.5
2018,11,991,7.37023148148148,14.6666666666667
2018,12,747,6.93626157407407,14.6833333333333
2019,1,917,6.70668981481481,14.6166666666667
2019,2,915,4.34658564814815,18.0166666666667
2019,3,874,6.12666666666667,14.4166666666667
2019,4,797,11.4910300925926,16.1166666666667
2019,5,844,6.73363425925926,19.3166666666667
2019,6,758,9.15377314814815,18.4
2019,7,910,5.46549768518519,17.35
2019,8,774,8.06319444444444,19.7666666666667
2019,9,720,6.66050925925926,17.2833333333333
2019,10,823,6.94369212962963,20.85
2019,11,788,5.84420138888889,20.8166666666667
2019,12,711,3.50241898148148,18.5833333333333
2020,1,790,4.06440972222222,16.9
2020,2,885,3.53538194444444,17.0333333333333
2020,3,866,3.66862268518519,20.15
2020,4,842,3.53107638888889,21.65
2020,5,792,2.0196875,20.4333333333333
