top 20 words in high interaction questions/answers 
=,-0.005749362665352684
+,-0.0012781213500754288
#,-0.0009107811736812123
your,-0.0008627661647108639
if,-0.0008359944145289741
in,-0.0005942337388931511
description,-0.0004544329069466166
image,-0.00039525233177128234
*,-0.0003921035781793116
==,-0.00037339303051889825
var,-0.0003715358931583614
as,-0.000363833138870652
you,-0.00036083773857602947
import,-0.00034384125626640697
AS,-0.0003245514461684842
field,-0.0003210460757666414
return,-0.000316929232577033
new,-0.0003094861146864204
[,-0.00030561464896329516
],,,-0.0003046314746143274
will,-0.00028892589433183666
FROM,-0.0002801389832755068
',-0.00027677190974157464
:,-0.00027353347214299447
each,-0.0002695207901978866
//,-0.0002591708605248486
values,-0.0002531187166464426
code,-0.0002493662516093193
value,-0.00024101346049192193
row,-0.00023349299357150276
points,-0.0002221775442928927
point,-0.00021849633274534245
script,-0.00021297018907867052
0,-0.0002112365733525647
create,-0.00019734660850980325
layer,-0.0001947964122179075
should,-0.00018480785145205117
',,,-0.00018009619613715624
1,-0.0001799231831349469
need,-0.0001767697018095326
def,-0.00016953232489359354
add,-0.00016813117364596303
name,-0.00016680214155277782
print,-0.00016600379756061365
following,-0.00016444947147875675
output,-0.0001635859053292309
--,-0.00016140162457615442
SELECT,-0.00015812708887553815
line,-0.00015703129321544343
raster,-0.00015452919348198394
top 20 words in regular questions/answers 
used,0.0001626801583790396
answer,0.00016402353929407073
more,0.00016632689910211942
with,0.00016643817828966567
file,0.0001676131043563862
.,0.0001742209915375531
just,0.00017804790041135807
good,0.0001828085693159799
by,0.0001884659715958299
up,0.0001954410137065618
solution,0.00019795170192269323
is,0.00020097958487995393
of,0.00020163307152752663
able,0.00020191699755564064
then,0.00020526247722797925
there,0.0002074095360627146
some,0.0002117537526134033
may,0.00021507850276967794
other,0.00021860634553959118
has,0.00021863779427715364
tool,0.00021895982336877216
GIS,0.00023073568849814303
would,0.00023192143915788405
problem,0.0002365417061389773
out,0.00024396751732885856
this,0.0002593957037380209
could,0.00026532033417803647
using,0.00028932350523738987
have,0.000297617002796801
or,0.00030525338410829217
had,0.0003125065303386282
found,0.000314475642972039
use,0.0003242104972595158
also,0.0003447977352944646
an,0.0003604941452640528
map,0.00036116301333920134
ArcGIS,0.0003691061193643615
be,0.00037565335802235665
my,0.0004690015176908686
data,0.0004747730131408148
can,0.0004884220444158951
it,0.0005585604708206555
on,0.0005882649934957386
but,0.0006017921162530062
that,0.0006674787947330042
was,0.0008090347476953496
and,0.0010952574688025025
a,0.001241753602579023
I,0.0014358967322956875
