top 20 words in high interaction questions/answers 
=,-0.0017423620469926085
:,-0.0009562167257144627
srid,-0.000728286658545354
[,-0.0006679073758397181
description,-0.000644171109415215
(,-0.000509828793383347
at,-0.0004725132923693474
image,-0.00043966131097173365
],,,-0.00042731377772947047
AND,-0.00041330856075924354
-9999.0,-0.00041116257464003853
BETWEEN,-0.0003913876648463849
+,-0.00036449691936150594
is,-0.00033481587686082746
not,-0.0003253811636569964
1,-0.0002982914473084509
script,-0.0002801194404275769
same,-0.0002749513329119873
tried,-0.0002707872319026646
true,-0.0002507964674868217
#,-0.00024587188355343283
error,-0.0002433793860587576
-,-0.00023130398112074018
AS,-0.00021661839116132
as,-0.00021423161475552996
0,-0.00020203760132684787
double,-0.0001932820798758582
no,-0.00018081085717270478
shapefile,-0.0001762471204891467
..,-0.00017023266365477678
line,-0.00016124282913143
*,-0.00015984208389609048
Left,-0.0001597529862933104
output,-0.00015799296849978647
problem,-0.00015763379256447186
are,-0.00015754741345921051
FROM,-0.00015240123324188694
File,-0.00014874413071400583
Right,-0.00014559872114631038
into,-0.0001455169250988242
run,-0.0001429591958503791
(caller:,-0.0001418705633781408
error:,-0.0001379856249921303
running,-0.0001323722671026735
file,-0.0001316262462720333
..@,-0.00012705980588905447
query,-0.00012581047826700604
|,-0.00012359703197467576
import,-0.00012332739932601248
buffer,-0.0001200439200287741
top 20 words in regular questions/answers 
each,0.0001402887111939823
change,0.00014499209229872903
within,0.00014628983494270143
am,0.00014672070504791624
layers,0.00014982613015675672
if,0.00015201883038717468
trying,0.0001634302481820706
anyone,0.00017553402020210039
based,0.00018464960895614663
be,0.00019327318883082065
plugin,0.00019884971164471475
with,0.00020480156643424945
area,0.000206950300647167
NA,0.00020869071618465082
need,0.00021116997721654573
QGIS,0.0002145810901028381
any,0.0002152648205191619
ArcGIS,0.0002191949279209337
create,0.00022054937513273673
function,0.00022414877030407722
possible,0.00022653547968319132
layer,0.00023982591025375815
that,0.0002666856963781713
an,0.0002740435401523411
know,0.0002765635133612867
add,0.0002839657018101512
on,0.00028583887630120614
new,0.00029138938667150815
way,0.000295115873125161
would,0.00029916565883298394
data,0.0003221235113918968
use,0.0003356745199165432
var,0.0003516247909591799
or,0.0003649916545726828
in,0.00036786182388332325
want,0.0003788116272201857
map,0.0003880266234984357
using,0.0003948505205855369
do,0.0004168210719490621
like,0.0004169618305799286
how,0.0004322764519652622
there,0.000455093545893309
for,0.0005352751549144788
and,0.0006407787822781813
can,0.000706127698677715
I,0.0008980417240560812
of,0.0010717379041415304
the,0.002009788848621692
a,0.0026824419289948574
