year,weekday,daily_q_mean,daily_a_mean,daily_co_mean,daily_e_mean
2020,1,3.2000000000000000,2.6356164383561644,8.5068493150684932,7.8383561643835616
2011,7,0.59452054794520547945,1.1753424657534247,2.1013698630136986,1.2575342465753425
2019,1,7.2000000000000000,6.1287671232876712,21.9863013698630137,20.6191780821917808
2011,6,0.61369863013698630137,1.1315068493150685,1.9972602739726027,1.3260273972602740
2013,1,5.1890410958904110,6.3013698630136986,16.3671232876712329,9.9616438356164384
2015,1,7.2712328767123288,8.1342465753424658,23.5095890410958904,18.4465753424657534
2010,1,0.57260273972602739726,1.3287671232876712,1.7287671232876712,0.75342465753424657534
2011,3,2.2547945205479452,4.1589041095890411,8.3917808219178082,4.2767123287671233
2017,1,6.9643835616438356,7.2191780821917808,23.3616438356164384,22.6191780821917808
2010,6,0.16438356164383561644,0.55068493150684931507,0.70958904109589041096,0.32328767123287671233
2013,3,5.9945205479452055,7.4328767123287671,19.0876712328767123,11.1753424657534247
2015,3,8.0739726027397260,9.4602739726027397,26.6301369863013699,19.8767123287671233
2017,6,2.3424657534246575,2.7589041095890411,7.8821917808219178,13.3041095890410959
2018,2,7.3506849315068493,7.5643835616438356,24.3041095890410959,22.0767123287671233
2018,4,7.4465753424657534,7.7753424657534247,24.9369863013698630,21.4219178082191781
2019,7,2.5917808219178082,2.3698630136986301,7.5972602739726027,10.7972602739726027
2020,2,3.3397260273972603,2.6000000000000000,9.1205479452054795,8.0958904109589041
2020,4,3.6191780821917808,2.9671232876712329,9.5232876712328767,8.8575342465753425
2010,3,0.70410958904109589041,1.5452054794520548,1.9890410958904110,0.93698630136986301370
2011,1,1.8273972602739726,3.3835616438356164,6.9643835616438356,3.2602739726027397
2012,2,4.1835616438356164,5.8904109589041096,13.3589041095890411,7.1041095890410959
2012,4,4.3013698630136986,6.1808219178082192,13.5506849315068493,7.1342465753424658
2013,6,1.9616438356164384,2.8712328767123288,5.5671232876712329,5.0082191780821918
2014,2,7.4356164383561644,8.9397260273972603,24.3917808219178082,16.3123287671232877
2014,4,7.2794520547945205,8.4273972602739726,23.7068493150684932,16.0630136986301370
2015,6,2.5561643835616438,3.2000000000000000,8.4054794520547945,10.2219178082191781
2016,5,7.1835616438356164,8.2219178082191781,23.6794520547945205,21.6356164383561644
2017,3,8.1671232876712329,8.3506849315068493,27.0027397260273973,24.7616438356164384
2010,7,0.16438356164383561644,0.43013698630136986301,0.47945205479452054795,0.30136986301369863014
