year,month,count
2017,1,78
2017,2,77
2017,3,91
2017,4,92
2017,5,57
2017,6,63
2017,7,62
2017,8,75
2017,9,57
2017,10,53
2017,11,69
2017,12,67
2018,1,68
2018,2,67
2018,3,72
2018,4,58
2018,5,69
2018,6,53
2018,7,81
2018,8,71
2018,9,54
2018,10,78
2018,11,67
2018,12,37
2019,1,63
2019,2,63
2019,3,68
2019,4,74
2019,5,81
2019,6,129
2019,7,165
2019,8,168
2019,9,173
2019,10,169
2019,11,206
2019,12,157
2020,1,166
2020,2,179
2020,3,216
2020,4,251
2020,5,329
